fid,MS_ID,PF_Index_Risk_equal,source_row_position,structural_null_count,had_structural_null,N_PFlossR_2kiw,N_PFlossR_2kmw,PFResident_lossR,PFDaynight_lossR,PFAB5k_NOR,PFABC_NOR,kmeans_cluster,distance_to_assigned_centroid
24341,24341,0.689255736526002,0,0,False,-0.833333333333333,-0.582655826558266,0.0,-1.0,1.0,0.255599579199857,2,3.586879192774875
24342,24342,0.875687751701609,1,0,False,1.0,1.0,-1.0,-1.0,1.0,0.255974313968601,1,1.6856095927845653
24343,24343,0.877055327641091,2,0,False,1.0,1.0,-1.0,-1.0,1.0,0.255134391256299,1,1.679642001364236
24344,24344,0.620164373184599,3,0,False,-1.0,-0.621287128712871,-0.425587467362924,0.0,1.0,0.258482933978164,2,1.549734869948507
24345,24345,0.619091387576672,4,0,False,-1.0,-0.617866004962779,-0.425587467362924,0.0,0.99866803433983,0.258975749450925,2,1.5483550237828783
24346,24346,0.61710882850759,5,0,False,-1.0,-0.605839416058394,-0.425587467362924,0.0,0.997906644822111,0.258909868217093,2,1.5399310835476818
24347,24347,0.604110315008139,6,0,False,-1.0,-0.600961538461538,-0.20844327176781,0.0,0.995990722422503,0.258857475068589,2,1.6976497018470917
24348,24348,0.591975527959547,7,0,False,-1.0,-0.567567567567568,-0.205194805194805,0.0,0.991428286921121,0.258674765647939,2,1.6827772254493865
24349,24349,0.589142411647597,8,0,False,-1.0,-0.546610169491525,-0.285714285714286,0.0,0.979497130706098,0.26455291676158,2,1.5782379077519701
24350,24350,0.583378543337703,9,0,False,-1.0,-0.526639344262295,-0.285714285714286,0.0,0.976451850489939,0.266086383323182,2,1.5759804407190365
24351,24351,0.574620137435449,10,0,False,-1.0,-0.550537634408602,-0.642795513373598,0.0,0.854459632931461,0.527521112263055,2,3.568315240150959
24352,24352,0.548785565188144,11,0,False,-1.0,-0.513888888888889,-0.435967302452316,0.0,0.845484746768973,0.477870875636562,2,3.018736151741916
24353,24353,0.377933038863419,12,0,False,-1.0,-0.553695955369595,0.0,0.0,0.290047142697472,0.108605871682548,4,0.77462875573275
24354,24354,0.37687297814963,13,0,False,-1.0,-0.55316091954023,0.0,0.0,0.291565418559392,0.108551703442003,4,0.7718998153148213
24355,24355,0.378680468390722,14,0,False,-1.0,-0.554896142433234,0.0,0.0,0.292866619702278,0.110314268686323,4,0.7831523808021746
24356,24356,0.384593794912328,15,0,False,-1.0,-0.556390977443609,0.0,0.0,0.298443929534926,0.107750339213415,4,0.7661967931694557
24357,24357,0.383394834472747,16,0,False,-1.0,-0.54375,0.0,0.0,0.299843288245226,0.107472980230761,4,0.7425561007282991
24358,24358,0.382611839838303,17,0,False,-1.0,-0.530645161290323,0.0,0.0,0.30138913934374,0.109091668722047,4,0.7294903652325695
24359,24359,0.382446898263781,18,0,False,-1.0,-0.523411371237458,0.0,0.0,0.30243527918714,0.110637112456567,4,0.7266475831022141
24360,24360,0.379942676028189,19,0,False,-1.0,-0.512820512820513,0.0,0.0,0.303168360948663,0.111641450258033,4,0.7165227888947749
24361,24361,0.380015186207396,20,0,False,-1.0,-0.5,0.0,0.0,0.30461239134473,0.112114531762654,4,0.7001066449134355
24362,24362,0.390722418334932,21,0,False,-1.0,-0.492932862190813,0.0,0.0,0.307801697738952,0.125098041830205,4,0.7778598007112013
24363,24363,0.395105645094585,22,0,False,-1.0,-0.486535008976661,0.0,0.0,0.308797115803791,0.127638744572863,4,0.7883960641665119
24387,24387,0.313879902202506,23,0,False,-1.0,-0.481617647058824,0.0,0.0,0.0515766941180712,0.158247888666398,4,1.456566840833393
24388,24388,0.316293038122735,24,0,False,-1.0,-0.480300187617261,0.0,0.0,0.0553419254912078,0.1580259498787,4,1.4452923716782629
24389,24389,0.312240222636242,25,0,False,-1.0,-0.48,0.0,0.0,0.0577074013918304,0.157886350925415,4,1.4385391534284646
24986,24986,0.369017302974054,26,0,False,0.0,-0.469827586206897,0.0,-0.272926062593959,0.888366293778307,0.428096681726643,2,3.1227407419915245
24987,24987,0.369742230298405,27,0,False,0.0,-0.467248908296943,0.0,-0.272926062593959,0.888723664556648,0.426678506904946,2,3.112998819396711
24988,24988,0.375180245814308,28,0,False,0.0,-0.449074074074074,0.0,-0.345621322256836,0.893510254364567,0.397634664915736,2,2.9375406280963285
24989,24989,0.535076409686907,29,0,False,-1.0,-0.441176470588235,0.0,-0.345621322256836,0.892562901311227,0.398585286147823,2,2.561755279295504
24990,24990,0.533307851809034,30,0,False,-1.0,-0.43,0.0,-0.345621322256836,0.892919438179061,0.39734987092186,2,2.5528906381704317
24996,24996,0.406600851561625,31,1,True,0.0,-0.653005464480874,,0.0,0.902008512017423,0.0884459290834247,3,0.728773743936238
24997,24997,0.397798719988112,32,1,True,0.0,-0.637142857142857,,0.0,0.894000371478285,0.0861963762774596,3,0.6938014386670228
24998,24998,0.394411661352711,33,1,True,0.0,-0.631123919308357,,0.0,0.889069974847468,0.0840105042443519,3,0.6762605699077627
24999,24999,0.392628225859364,34,1,True,0.0,-0.624633431085044,,0.0,0.884314504097985,0.0815194008875436,3,0.6577997448879669
25000,25000,0.384751548590604,35,1,True,0.0,-0.614457831325301,,0.0,0.878467394434072,0.0791445411451641,3,0.6353268292464096
25001,25001,0.367017153392623,36,1,True,0.0,-0.560606060606061,,0.0,0.872153462750915,0.076951275343223,3,0.5547422246738539
25002,25002,0.364058649859851,37,1,True,0.0,-0.55045871559633,,0.0,0.865615611444689,0.0755568371009561,3,0.5414627748414452
25003,25003,0.351657460877193,38,1,True,0.0,-0.513846153846154,,0.0,0.860840766297122,0.0739407323208546,3,0.5024389340091829
25004,25004,0.343695549503565,39,1,True,0.0,-0.48125,,0.0,0.855407607692323,0.0724964180632627,3,0.4801297276556684
25005,25005,0.329640939676536,40,1,True,0.0,-0.451923076923077,,0.0,0.850156776189953,0.0710980120670784,3,0.4710248670874069
25006,25006,0.306956997518277,41,1,True,0.0,-0.357859531772575,,0.0,0.844738545004595,0.069764377849201,3,0.5072253858675171
25007,25007,0.309498270595886,42,1,True,0.0,-0.371621621621622,,0.0,0.839173940061859,0.068887748383904,3,0.5009546004634926
25008,25008,0.309491305665111,43,1,True,0.0,-0.378006872852234,,0.0,0.834796189263812,0.0675696725670846,3,0.49951719614657153
25009,25009,0.298566591320248,44,1,True,0.0,-0.331058020477816,,0.0,0.828957688566404,0.0667802608385079,3,0.5468091037442828
25010,25010,0.290950544682178,45,1,True,0.0,-0.293103448275862,,0.0,0.824195766423026,0.0649708759585319,3,0.5963410767687198
25011,25011,0.284677096471281,46,1,True,0.0,-0.274914089347079,,0.0,0.81582241920602,0.0644686688764695,3,0.6323742589123897
25012,25012,0.269938454330223,47,1,True,0.0,-0.26530612244898,,0.0,0.81111277075446,0.063451422808409,3,0.6518809932678
25013,25013,0.264054172482199,48,1,True,0.0,-0.240549828178694,,0.0,0.805269770573944,0.0628061835199395,3,0.697203359566423
25014,25014,0.254763527525132,49,1,True,0.0,-0.222222222222222,,0.0,0.800505569599229,0.0624602630474573,3,0.7330644490698294
25187,25187,0.402218302399864,50,0,False,-1.0,-0.540880503144654,0.0,0.0,0.42290529084422,0.249338301025749,4,1.8630068996616627
25188,25188,0.40507847538162,51,0,False,-1.0,-0.543035993740219,0.0,0.0,0.422031010837287,0.251012986976183,4,1.8788511757706479
25189,25189,0.400960421060968,52,0,False,-1.0,-0.542319749216301,0.0,0.0,0.398249472668757,0.274276491951027,4,2.078583561954967
25190,25190,0.399542318801475,53,0,False,-1.0,-0.532154340836013,0.0,0.0,0.39872305410201,0.274996552842877,4,2.0794231179382985
25191,25191,0.397677379281799,54,0,False,-1.0,-0.518581081081081,0.0,0.0,0.39960259230308,0.275579397821771,4,2.077646436897625
25198,25198,0.273846337273973,55,0,False,-1.0,-0.0597014925373134,0.0,-0.33872502378687,0.494586733307883,0.076509464862614,4,1.5587963841847303
25199,25199,0.269646393046499,56,0,False,-1.0,-0.0471204188481675,0.0,-0.34529582929195,0.493536552431191,0.0770672207752512,4,1.5945038679325285
25200,25200,0.271075468872436,57,0,False,-1.0,-0.0453333333333333,0.0,-0.34529582929195,0.499963691552842,0.0756860758106246,4,1.6013990710448778
25201,25201,0.272130560954833,58,0,False,-1.0,-0.0416666666666667,0.0,-0.34529582929195,0.50572343673117,0.0745331167484179,4,1.6099832197196406
25212,25212,0.279773632258511,59,0,False,-1.0,-0.0453333333333333,0.0,-0.34529582929195,0.53075679632259,0.0682748236752144,4,1.631011154614553
25213,25213,0.283508544859799,60,0,False,-1.0,-0.0598503740648379,0.0,-0.33872502378687,0.526963292649265,0.0681925943580645,4,1.5890218488441663
25214,25214,0.278079143346741,61,0,False,-1.0,-0.0554272517321016,0.0,-0.33872502378687,0.512284829824342,0.0692045399224758,4,1.5764742363951922
