hdbscan_cluster,sample_count
-1,30642
0,196
1,68
2,97
3,54
4,96
5,62
6,114
7,52
8,107
9,1316
10,103
11,98
12,56
13,50
14,103
15,115
16,111
17,215
18,316
19,163
20,71
21,57
22,56
23,53
24,70
25,144
26,84
27,100
28,241
29,57
30,53
31,71
32,52
33,100
34,50
35,180
36,69
37,73
38,51
39,126
40,100
41,3907
42,158
43,96
44,107
45,472
46,50
47,101
48,136
49,81
50,134
51,112
52,168
53,78
54,706
55,80
56,51
57,125
58,77
59,81
60,92
61,202
62,131
63,99
64,62
65,98
66,55
67,92
68,79
69,73
70,50
71,122
72,104
73,80
74,241
75,56
76,105
77,69
78,66
79,57
80,155
81,55
82,106
83,52
84,94
85,71
86,52
87,57
88,98
89,78
90,75
91,60
92,50
93,113
94,58
95,102
96,2693
97,94
98,78
99,99
100,50
101,133
102,200
103,56
104,61
105,95
106,101
107,84
108,132
109,66
110,59
111,58
112,56
113,128
114,95
115,50
116,80
117,67
118,77
119,50
120,74
121,52
122,64
123,58
124,80
125,76
126,63
127,206
128,273
129,218
130,164
131,205
132,148
133,143
134,130
135,215
136,167
137,57
138,72
139,166
140,50
141,54
142,1985
143,58
144,4408
145,77
146,58
147,70
148,51
149,127
150,159
151,98
152,61
153,58
154,68
155,117
156,90
157,240
158,71
159,56
160,126
161,75
162,77
163,112
164,83
165,114
166,136
167,60
168,78
169,339
170,225
171,75
172,58
173,50
174,274
175,139
176,50
177,64
178,180
179,53
180,231
181,291
182,60
183,51
184,65
185,54
186,78
187,59
188,135
189,84
190,136
191,207
192,67
193,89
194,93
195,53
196,81
197,56
198,72
199,83
200,839
201,107
202,60
203,348
204,242
205,468
206,117
207,75
208,72
209,72
210,90
211,73
212,422
213,106
214,153
215,123
216,113
217,86
218,58
219,53
220,50
221,143
222,68
223,221
224,79
225,64
226,66
227,155
228,102
229,186
230,82
231,132
232,200
233,55
234,111
235,200
236,50
237,52
238,195
239,110
240,180
241,136
242,94
243,62
244,131
245,117
246,58
247,275
248,124
249,109
250,111
251,63
252,176
253,139
254,204
255,101
256,140
257,123
258,168
259,140
260,51
261,65
262,79
263,156
264,105
265,108
266,85
267,53
268,57
269,256
270,112
271,215
272,83
273,56
274,152
275,99
276,87
277,181
278,106
279,138
280,74
281,114
282,84
283,53
284,209
285,267
286,226
287,309
288,55
289,137
290,21721
291,288
292,187
293,96
294,93
295,77
296,129
297,85
298,2545
299,193
300,55
301,71
302,56
303,1578
304,1614
305,1643
306,1708
307,120
308,78
309,56
310,56
311,69
312,84
313,1600
314,90
315,66
316,55
317,74
318,85
319,62
320,1399
321,78
322,1580
323,56
324,1147
325,61
