street_id,cluster_id_PF,cluster_id_TF,is_conflict
142,1,0,True
143,1,0,True
144,1,0,True
145,1,0,True
146,1,0,True
147,1,0,True
148,1,0,True
149,1,0,True
150,1,0,True
151,1,0,True
152,1,0,True
153,1,0,True
154,1,0,True
155,1,0,True
156,1,0,True
157,1,0,True
158,1,0,True
159,1,0,True
160,1,0,True
161,1,0,True
162,1,0,True
163,1,0,True
164,1,0,True
165,1,0,True
166,1,0,True
167,1,0,True
168,1,0,True
169,1,0,True
170,1,0,True
171,1,0,True
172,1,0,True
173,1,0,True
174,1,0,True
175,1,0,True
176,1,0,True
177,1,0,True
178,1,0,True
179,1,0,True
180,1,0,True
181,1,0,True
182,1,0,True
183,1,0,True
184,1,0,True
185,1,0,True
186,1,0,True
187,1,0,True
188,1,0,True
189,1,0,True
190,1,0,True
191,1,0,True
192,1,0,True
193,1,0,True
194,1,0,True
195,1,0,True
196,1,0,True
197,1,0,True
198,1,0,True
199,1,0,True
200,1,0,True
201,1,0,True
202,1,0,True
203,1,0,True
204,1,0,True
205,1,0,True
206,1,0,True
207,1,0,True
208,1,0,True
209,1,0,True
210,1,0,True
211,1,0,True
212,1,0,True
213,1,0,True
214,1,0,True
215,1,0,True
216,1,0,True
217,1,0,True
218,1,0,True
219,1,0,True
220,1,0,True
221,1,0,True
222,1,0,True
223,1,0,True
224,1,0,True
225,1,0,True
226,1,0,True
227,1,0,True
228,1,0,True
229,1,0,True
230,1,0,True
231,1,0,True
232,1,0,True
233,1,0,True
1226,6,4,True
1227,6,4,True
1228,13,9,True
1229,14,10,True
1230,-1,-1,False
1231,11,-1,True
1232,11,10,True
1233,11,10,True
1234,14,-1,True
1235,10,9,True
1236,14,-1,True
1237,-1,8,True
1238,13,10,True
1239,-1,-1,False
1240,11,8,True
1241,13,9,True
1242,12,-1,True
1243,10,-1,True
1244,13,10,True
1245,13,9,True
1246,10,10,False
1247,11,-1,True
1248,-1,8,True
1249,10,-1,True
1250,13,10,True
1251,10,10,False
1252,10,9,True
1253,12,9,True
1254,11,10,True
1255,6,4,True
1256,6,4,True
1257,6,4,True
1258,6,4,True
1259,6,4,True
1260,6,4,True
1261,6,4,True
1262,6,4,True
1263,6,4,True
1264,6,4,True
1265,6,4,True
1266,6,4,True
1267,6,4,True
1427,2,1,True
1428,2,1,True
1429,2,1,True
1430,2,1,True
1431,2,1,True
1432,2,1,True
1433,2,1,True
1434,2,1,True
1435,2,1,True
1436,2,1,True
1437,2,1,True
2068,12,8,True
2069,10,10,False
2070,10,8,True
2071,13,-1,True
2072,-1,-1,False
2073,11,-1,True
2074,10,-1,True
2075,13,10,True
2076,10,-1,True
2077,11,-1,True
2078,10,9,True
2079,13,-1,True
2080,13,-1,True
2081,13,-1,True
2082,10,8,True
2083,10,8,True
2084,13,9,True
2085,-1,8,True
2086,10,9,True
2087,10,9,True
2088,10,8,True
2089,13,9,True
2090,10,10,False
2091,10,8,True
2092,10,8,True
2093,12,-1,True
2094,12,-1,True
2095,13,10,True
2096,10,9,True
2097,10,10,False
2098,13,9,True
2099,10,10,False
2100,13,9,True
2101,13,-1,True
2102,10,-1,True
2103,13,10,True
2104,11,-1,True
2105,11,10,True
2106,10,9,True
2107,13,10,True
2108,10,8,True
2109,13,10,True
2110,11,9,True
2111,13,10,True
2112,13,10,True
2113,14,8,True
2114,11,10,True
2115,12,8,True
2116,10,8,True
2117,-1,10,True
2118,13,-1,True
2119,14,8,True
2120,10,9,True
2121,11,9,True
2122,11,-1,True
2123,13,9,True
2124,13,8,True
2125,12,-1,True
2126,13,10,True
2127,13,10,True
2128,12,8,True
2129,12,8,True
2130,13,10,True
2131,13,-1,True
2132,14,8,True
2133,10,8,True
2134,13,9,True
2135,12,-1,True
2136,10,8,True
2137,10,9,True
2138,14,9,True
2139,12,-1,True
2140,11,-1,True
2141,13,10,True
2142,13,9,True
2143,13,8,True
2144,13,9,True
2145,13,8,True
2146,11,9,True
2147,12,-1,True
2148,14,9,True
2149,11,-1,True
2150,10,10,False
2151,13,-1,True
2152,14,-1,True
2153,10,10,False
2154,6,4,True
2155,6,4,True
2156,6,4,True
2157,6,4,True
2158,6,4,True
2159,6,4,True
2160,6,4,True
2161,6,4,True
2162,6,4,True
2163,6,4,True
2164,6,4,True
2165,6,4,True
2166,12,8,True
2167,13,10,True
2168,11,8,True
2169,14,9,True
2170,13,-1,True
2171,12,10,True
2172,-1,9,True
2173,-1,9,True
2174,-1,9,True
2175,-1,10,True
2176,-1,9,True
2177,-1,10,True
2178,-1,10,True
2179,-1,-1,False
2180,-1,9,True
2181,-1,8,True
2182,-1,8,True
2183,-1,10,True
2184,-1,-1,False
2185,2,1,True
2186,2,1,True
2187,2,1,True
2188,2,1,True
2189,2,1,True
2190,2,1,True
2191,2,1,True
2192,2,1,True
2193,2,1,True
2194,2,1,True
2195,2,1,True
2196,2,1,True
2197,2,1,True
2198,2,1,True
2199,2,1,True
2200,2,1,True
2201,2,1,True
2202,2,1,True
2203,2,1,True
2204,2,1,True
2205,2,1,True
2206,2,1,True
2207,2,1,True
2208,2,1,True
2209,2,1,True
2210,2,1,True
2211,2,1,True
2212,2,1,True
2213,2,1,True
2214,2,1,True
2215,2,1,True
2216,2,1,True
2217,2,1,True
2218,2,1,True
2219,2,1,True
2220,2,1,True
2221,2,1,True
2222,2,1,True
2223,2,1,True
2224,2,1,True
2225,2,1,True
2226,2,1,True
2227,2,1,True
2228,2,1,True
2229,2,1,True
2230,2,1,True
2231,2,1,True
2232,2,1,True
2233,2,1,True
