cluster_id,sample_count,sample_percentage,distance_to_centroid_mean,distance_to_centroid_median,distance_to_centroid_std,distance_to_centroid_max
1,2301,38.17186463171864,0.4520304189984985,0.45174456377972144,0.13305546470592475,1.0495067277642998
2,645,10.700066357000663,0.5659049847469272,0.5275756489077588,0.1505560984408494,1.1135259918356417
3,1896,31.453218314532183,0.4235616925270675,0.3914080914168252,0.20273081756005545,1.0959801090593229
4,1186,19.674850696748507,0.10189751528189804,0.08696237596233872,0.09896167580370606,0.7051950562067842
