fid,MS_ID,kmeans_cluster,distance_to_assigned_centroid
24398,24398,1,0.3850018604333284
24399,24399,1,0.38251672898115496
24400,24400,1,0.3769752167339469
24403,24403,1,0.38485271268734134
24404,24404,2,0.761797218504261
24405,24405,2,0.5603173843311765
24406,24406,2,0.5374932245041123
24407,24407,2,0.48398153253270826
24408,24408,2,0.564180786124814
24409,24409,2,0.49081195201929123
24410,24410,2,0.5559577944238765
24411,24411,1,0.7278610050415408
24412,24412,3,0.5431283855724417
24415,24415,3,0.5301005560854088
24416,24416,3,0.5228724943091256
24417,24417,3,0.5246814744947692
24418,24418,3,0.524130365725173
24419,24419,1,0.521526834222212
24458,24458,3,0.8853109925449493
24459,24459,3,0.9058646337432021
24460,24460,3,0.9042175138161834
24461,24461,3,0.9327989888547715
24462,24462,3,0.9315248130220641
24463,24463,3,0.9875029490415524
24464,24464,4,0.23704188022444342
24581,24581,3,0.22169651967922044
24582,24582,3,0.2224691615094607
24583,24583,3,0.2213151595191333
24584,24584,3,0.22071081984117602
24585,24585,3,0.22190908470847479
24586,24586,3,0.22035056143949233
24587,24587,3,0.2179366263124879
24588,24588,3,0.34969803782041115
24589,24589,3,0.350134416233245
24590,24590,3,0.29881385370974906
24591,24591,3,0.4592974712156878
24592,24592,3,0.45916271394784774
24614,24614,2,0.8817752151397569
24615,24615,2,0.8817969042167915
24616,24616,4,0.02537647311840004
24617,24617,4,0.02487054242740203
24618,24618,4,0.02419535706404374
24619,24619,4,0.02020222289470814
24620,24620,4,0.022325616756393492
24621,24621,4,0.020829390444890565
24622,24622,4,0.018579566574761838
24623,24623,4,0.01958522380762176
24624,24624,4,0.018169620383636054
24983,24983,1,0.5282271316588799
24984,24984,1,0.5360707028713693
24985,24985,1,0.5437899521497827
24986,24986,1,0.4806160001817281
24987,24987,1,0.47915262878363857
24988,24988,1,0.4006800097516415
24989,24989,1,0.40105036134763444
24990,24990,1,0.4003946657057375
25029,25029,3,0.8414302817324509
25030,25030,3,0.8420670130309144
25031,25031,3,0.8400785984306542
25032,25032,3,0.2558614495594691
25033,25033,3,0.25288585639722705
25034,25034,3,0.2501340220700015
25035,25035,3,0.19637706944484343
25036,25036,3,0.19266586834070543
25037,25037,3,0.19280707566760585
25038,25038,3,0.1657046109681952
25039,25039,3,0.1838158148755017
25040,25040,3,0.18333774343009798
25041,25041,3,0.18580904308226567
25042,25042,3,0.18715228953096447
25043,25043,3,0.19918660944289124
25044,25044,3,0.20567143780978234
25045,25045,3,0.21289700104672288
25046,25046,3,0.2169216697824949
25117,25117,4,0.08115846437541557
25118,25118,3,0.5443551624075124
25192,25192,4,0.1971771491243017
