K,Inertia,Silhouette,Calinski_Harabasz,Davies_Bouldin,Largest_Cluster,Smallest_Cluster,Cluster_Size_SD
2,22934.546756167045,0.5630980459600536,1030.1850585677741,0.9202487748370194,3932,168,1882.0
3,18605.464475366665,0.25290082975790595,1111.4291744551404,1.4930741256434443,1979,184,836.4473816219538
4,15627.934057035767,0.28407802418197364,1142.0400996269502,1.354899436546705,1901,167,687.2306745191166
5,13505.378114228408,0.30366196578246424,1151.7999736098002,1.218258155010735,1811,154,625.142863671977
6,11663.01951742142,0.31388160813426885,1196.0778765994557,1.196302010572785,1155,154,382.5221852680211
7,10607.902027282169,0.3220920979270387,1163.4558968695335,1.1243609557945806,1141,73,418.40879336761907
8,9553.293883095474,0.30986368555942734,1171.6001649473565,1.094525880488761,935,73,342.82174668477495
9,8554.438515438445,0.3191104937272853,1204.2850717565902,1.0733251867452782,913,73,324.5708657806185
10,7833.382617789872,0.341977157197843,1210.5569907776255,1.0219331533431275,901,73,293.3779132791015
