hdbscan_cluster,sample_count
-1,26894
0,264
1,114
2,107
3,207
4,1316
5,103
6,115
7,335
8,111
9,215
10,316
11,144
12,100
13,300
14,100
15,180
16,3421
17,126
18,100
19,3907
20,158
21,534
22,107
23,101
24,136
25,134
26,112
27,168
28,979
29,125
30,202
31,131
32,264
33,184
34,122
35,302
36,105
37,138
38,106
39,167
40,371
41,279
42,3250
43,113
44,1719
45,330
46,200
47,122
48,101
49,132
50,266
51,206
52,273
53,218
54,164
55,205
56,148
57,143
58,130
59,215
60,167
61,5364
62,166
63,127
64,159
65,231
66,240
67,566
68,126
69,302
70,199
71,114
72,225
73,427
74,139
75,25407
76,247
77,338
78,291
79,312
80,242
81,136
82,1113
83,974
84,107
85,348
86,242
87,422
88,106
89,153
90,123
91,113
92,633
93,227
94,269
95,143
96,102
97,186
98,132
99,546
100,177
101,200
102,110
103,180
104,201
105,233
106,117
107,235
108,275
109,124
110,109
111,176
112,139
113,204
114,101
115,140
116,123
117,168
118,218
119,140
120,156
121,105
122,140
123,495
124,108
125,309
126,309
127,181
128,106
129,194
130,138
131,209
132,267
133,226
134,365
135,137
136,293
137,2545
138,188
139,193
140,1578
141,1614
142,1643
143,2014
144,2000
145,1547
146,1708
147,205
148,1636
149,181
