cluster_id,N_PFlossR_2kiw,N_PFlossR_2kmw,PFResident_lossR,PFDaynight_lossR,PFAB5k_NOR,PFABC_NOR
1,-1.0000000000000007,-0.3332441309823409,-0.051109931392395086,-0.03088238550109787,0.3587083397091127,0.08272012323600751
2,-0.9921242786794336,-0.3936786941902963,-0.26594068981270796,-0.17769902918560893,0.9044402091163498,0.11881564020964416
3,-0.03298473138096414,-0.2426970487232274,-0.1267833428717054,-0.15093456780062506,0.90980565363126,0.15165482515807732
4,0.9999999999999997,1.0000000000000004,-0.9999999999999998,-1.0,1.0,0.17761082685324672
