street_id,pca_component_1,pca_component_2
142,-0.4300001081049819,-0.32250008209421777
143,-0.43000005429106886,-0.32250011135224577
144,-0.43000012805041055,-0.32250007140413217
145,-0.4300000475890632,-0.3225001224266627
146,-0.4300001530183951,-0.322500056181877
147,-0.43000004465780073,-0.3225001172884507
148,-0.4300001530183951,-0.322500056181877
149,-0.43000006864446233,-0.3225001026971323
150,-0.4300001312495636,-0.32250006945370147
151,-0.4300001530183951,-0.322500056181877
152,-0.4300000450285709,-0.3225001222558043
153,-0.43000006987638806,-0.322500102017973
154,-0.43000013427559236,-0.322500066192728
155,-0.430000070702346,-0.3225001079038118
156,-0.4300000728642303,-0.3225001065454274
157,-0.4299999113735653,-0.32250019540806957
158,-0.4300001354244145,-0.32250006690841604
159,-0.43000007187593897,-0.3225001009156228
160,-0.4300001363910581,-0.3225000663190815
161,-0.430000002898085,-0.32250014431084595
162,-0.43000006724970663,-0.3225001083669879
163,-0.4300000872017765,-0.32250009753666614
164,-0.4300001202578434,-0.3225000748010206
165,-0.42999985462068846,-0.3225002254754732
166,-0.43000010727588495,-0.32250008273055775
167,-0.43000013539437454,-0.32250006559516736
168,-0.4300001530183951,-0.322500056181877
169,-0.4300000635918489,-0.32250010623039127
170,-0.43000003638896594,-0.3225001228107362
171,-0.430000064778875,-0.32250011162572734
172,-0.4300000625828708,-0.3225001130055504
173,-0.4300001530183951,-0.322500056181877
174,-0.4300001353748089,-0.32250006560561767
175,-0.4300000747591126,-0.32250009932613244
176,-0.4300000533417757,-0.32250011881204044
177,-0.43000012933143583,-0.32250007062312824
178,-0.4300000738868842,-0.3225000998069909
179,-0.4299999941745115,-0.3225001437523334
180,-0.43000013498048073,-0.3225000658162351
181,-0.4300000907065704,-0.32250009143642056
182,-0.43000011669281496,-0.3225000755839897
183,-0.42999995756658377,-0.32250017727386654
184,-0.4300001347354717,-0.32250006594709857
185,-0.43000007263076856,-0.322500104963905
186,-0.4300000903399116,-0.3225000930047653
187,-0.4300000061855941,-0.3225001421581162
188,-0.4300001530183951,-0.322500056181877
189,-0.4300000550179612,-0.32250011113938587
