cluster,N_PFlossR_2kiw,N_PFlossR_2ktw,N_PFlossR_2kmw,PFResident_lossR,PFDaynight_lossR,PFAB5k_NOR,PFABC_NOR
1,0.6871244518528884,-0.49492012905286553,-0.28647439741762937,0.38852006653643695,0.3035184162325547,0.44541043330536095,-0.18697495249037238
2,-0.919589209228396,0.30851284511663085,0.10375107166248601,0.3149305215847287,0.2779397043144749,-0.820012911778547,0.07499479647768904
3,-0.4973000099518502,-0.17471974441300028,-0.1972257207694521,-1.6424612240424665,-1.1146660060833862,0.4203632035807089,0.37208712479729
4,1.90850791734846,3.5495225641383277,3.038498569496834,-1.4916193360421446,-2.025320320512171,0.6218202662169195,0.18938733413846764
