cluster,N_PFlossR_2kiw,N_PFlossR_2ktw,N_PFlossR_2kmw,PFResident_lossR,PFDaynight_lossR,PFAB5k_NOR,PFABC_NOR
1,-0.13357802597931195,-0.5524433330254399,-0.490153310498225,-0.009621036727726087,-0.023413103517315043,0.8762808929644166,0.06133415988676749
2,-0.9946115498600939,-0.24404876326628994,-0.3244019052531218,-0.02893188819448425,-0.029338254571121852,0.5042584178350364,0.08941862795010172
3,-0.7683079052485335,-0.4295356816936025,-0.4522442175690187,-0.5425768806573409,-0.3519267890887232,0.8689172447169746,0.12126841228367634
4,0.5209580838323353,1.0000000000000004,0.9221556886227542,-0.5029940119760478,-0.5628742514970059,0.9281437125748504,0.10168208044136463
