cluster,feature,original_non_null_count,original_structural_null_count,original_structural_null_percent,original_non_null_mean,original_non_null_median,filled_mean,standardized_centroid,inverse_transformed_centroid
1,N_PFlossR_2kiw,700,1201,63.17727511835876,-0.36275975340952943,0.0,-0.1335780259793112,0.6871244518528884,-0.13357802597931195
1,N_PFlossR_2ktw,1901,0,0.0,-0.55244333302544,-0.492997778081801,-0.55244333302544,-0.49492012905286553,-0.5524433330254399
1,N_PFlossR_2kmw,1541,360,18.93740136770121,-0.6046602487067658,-0.714285714285714,-0.4901533104982252,-0.28647439741762937,-0.490153310498225
1,PFResident_lossR,477,1424,74.9079431877959,-0.03834295769267969,0.0,-0.009621036727726571,0.38852006653643695,-0.009621036727726087
1,PFDaynight_lossR,654,1247,65.59705418200947,-0.06805551955109511,0.0,-0.023413103517315206,0.3035184162325547,-0.023413103517315043
1,PFAB5k_NOR,1889,12,0.6312467122567069,0.8818475264824541,0.942661868758998,0.8762808929644166,0.44541043330536095,0.8762808929644166
1,PFABC_NOR,1901,0,0.0,0.061334159886767485,0.0262421846431587,0.061334159886767485,-0.18697495249037238,0.06133415988676749
2,N_PFlossR_2kiw,1451,4,0.27491408934707906,-0.9973534149182895,-1.0,-0.9946115498600949,-0.919589209228396,-0.9946115498600939
2,N_PFlossR_2ktw,1455,0,0.0,-0.2440487632662899,-0.242527959520903,-0.2440487632662899,0.30851284511663085,-0.24404876326628994
2,N_PFlossR_2kmw,1455,0,0.0,-0.32440190525312174,-0.268325487558843,-0.32440190525312174,0.10375107166248601,-0.3244019052531218
2,PFResident_lossR,1365,90,6.185567010309279,-0.030839485218296717,0.0,-0.02893188819448455,0.3149305215847287,-0.02893188819448425
2,PFDaynight_lossR,1424,31,2.1305841924398625,-0.02997693848383587,0.0,-0.029338254571121842,0.2779397043144749,-0.029338254571121852
2,PFAB5k_NOR,1424,31,2.1305841924398625,0.5152359536165576,0.514819369174352,0.5042584178350363,-0.820012911778547,0.5042584178350364
2,PFABC_NOR,1455,0,0.0,0.08941862795010173,0.0456182656730896,0.08941862795010173,0.07499479647768904,0.08941862795010172
3,N_PFlossR_2kiw,520,57,9.878682842287695,-0.8525262717853918,-1.0,-0.7683079052485333,-0.4973000099518502,-0.7683079052485335
3,N_PFlossR_2ktw,559,18,3.119584055459272,-0.44336688432416577,-0.469538071764189,-0.42953568169360246,-0.17471974441300028,-0.4295356816936025
3,N_PFlossR_2kmw,559,18,3.119584055459272,-0.4668066431794702,-0.482487922705314,-0.4522442175690188,-0.1972257207694521,-0.4522442175690187
3,PFResident_lossR,541,36,6.239168110918544,-0.5786818117177188,-0.564421190320471,-0.5425768806573412,-1.6424612240424665,-0.5425768806573409
3,PFDaynight_lossR,559,18,3.119584055459272,-0.3632589576103638,-0.338773709748566,-0.35192678908872344,-1.1146660060833862,-0.3519267890887232
3,PFAB5k_NOR,569,8,1.386481802426343,0.8811340073843487,0.975386798144687,0.8689172447169745,0.4203632035807089,0.8689172447169746
3,PFABC_NOR,577,0,0.0,0.12126841228367635,0.0607218802083715,0.12126841228367635,0.37208712479729,0.12126841228367634
4,N_PFlossR_2kiw,87,80,47.90419161676647,1.0,1.0,0.5209580838323353,1.90850791734846,0.5209580838323353
4,N_PFlossR_2ktw,167,0,0.0,1.0,1.0,1.0,3.5495225641383277,1.0000000000000004
4,N_PFlossR_2kmw,154,13,7.784431137724551,1.0,1.0,0.9221556886227545,3.038498569496834,0.9221556886227542
4,PFResident_lossR,84,83,49.700598802395206,-1.0,-1.0,-0.5029940119760479,-1.4916193360421446,-0.5029940119760478
4,PFDaynight_lossR,94,73,43.712574850299404,-1.0,-1.0,-0.562874251497006,-2.025320320512171,-0.5628742514970059
4,PFAB5k_NOR,155,12,7.18562874251497,1.0,1.0,0.9281437125748503,0.6218202662169195,0.9281437125748504
4,PFABC_NOR,167,0,0.0,0.10168208044136466,0.0649457978768598,0.10168208044136466,0.18938733413846764,0.10168208044136463
